property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description
The Groves at East Tabor Apartments,"Post Groves, LP",Fairfield,Solano,,2025-02-21,preliminary_only,False,Post Investment Group,Integrity Housing,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Shadowbrook Apartments,"Post Shadowbrook, LP",Selma,Fresno,,2025-02-21,preliminary_only,False,Post Investment Group,Integrity Housing,193,100% at 80% AMI,30,28950.0,"Grant up to $10,000 (Charitable Affordable Housing)"
River Court Apartments,"Post Rivercourt, LP",Sacramento,Sacramento,,2025-02-21,preliminary_only,False,Post Investment Group,Integrity Housing,160,100% at 80% AMI,30,24000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Emerald Pointe Apartments,"Post Emerald, LP",Modesto,Stanislaus,,2025-02-21,preliminary_only,False,Post Investment Group,Integrity Housing,250,100% at 80% AMI,30,37500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
3901 Normandie Avenue Apartments,"BIF OZ 3905 NORMANDIE AVE, LP",Los Angeles,Los Angeles,,2025-02-21,preliminary_only,False,"SoLa Impact, LLC",Housing on Merit,84,100% at 80% AMI,30,12600.0,"Grant up to $10,000 (Charitable Affordable Housing)"
11422 Broadway Apartments,"BIF IMPACT OZ 1100 BROADWAY BLK, LP",Los Angeles,Los Angeles,,2025-02-21,authorize,False,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)"
Casa La Palma Apartments,"7777 Valley View, L.P., a California limited partnership",La Palma,Orange,25-103,2025-03-14,authorize,True,Mariman & Co.,AOF/Pacific Affordable Housing Corporation,272,100% at 80% AMI,30,40500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
The Eaves Apartments,"920 Gramercy Upwell, LP, a Delaware limited partnership",Los Angeles,Los Angeles,25-104,2025-03-14,authorize,True,Treehouse Community,Butterfly’s Haven,13,100% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Coronado Palms Apartments,"Coronado Owner, LP",Anaheim,Orange,25-102,2025-03-14,authorize,True,TriWest Multifamily,"Kingdom Development, Inc.",169,40% at 80% AMI,30,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
AVID South & Lime Apartments,"Avid South & Lime, LP",Long Beach,Los Angeles,,2025-03-14,preliminary_only,False,Avanath Capital,BRIDGE Housing Corporation,96,100% at 80% AMI,30,14400.0,"Grant up to $10,000 (Charitable Affordable Housing)"
569th W. 6th Street Apartments,"SIOF 5 Properties, LP",Los Angeles,Los Angeles,,2025-03-14,preliminary_only,False,"SoLa Impact, LLC",Housing on Merit,48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Lindley Parc Apartments,10535 Lindley Affordable L.P.,Los Angeles,Los Angeles,25-116,2025-04-04,authorize,True,Taylor Equities,Housing on Merit,50,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Candlewood North Apartments,"Post Candlewood North, LP",Los Angeles,Los Angeles,25-117,2025-04-04,authorize,True,Post Investment Group,Integrity Housing,189,100% at 80% AMI,30,28350.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Aspire Arden Apartments,Clear Capital or an affiliate,Sacramento,Sacramento,,2025-04-04,preliminary_only,False,"Clear Capital, LLC",Housing on Merit,250,40% at 80% AMI,30,15000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
