agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,source
CMFA,Shadowbrook Apartments,"Post Shadowbrook, LP",Selma,Fresno,,2025-02-21,preliminary_only,,Post Investment Group,,Integrity Housing,193,193,100% at 80% AMI,30,28950.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,River Court Apartments,"Post Rivercourt, LP",Sacramento,Sacramento,,2025-02-21,preliminary_only,,Post Investment Group,,Integrity Housing,160,160,100% at 80% AMI,30,24000.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Emerald Pointe Apartments,"Post Emerald, LP",Modesto,Stanislaus,,2025-02-21,preliminary_only,,Post Investment Group,,Integrity Housing,250,250,100% at 80% AMI,30,37500.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,3901 Normandie Avenue Apartments,"BIF OZ 3905 NORMANDIE AVE, LP",Los Angeles,Los Angeles,,2025-02-21,preliminary_only,,"SoLa Impact, LLC",,Housing on Merit,84,83,100% at 80% AMI,30,12600.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,11422 Broadway Apartments,"BIF IMPACT OZ 1100 BROADWAY BLK, LP",Los Angeles,Los Angeles,25-081,2025-02-21,authorize,approved,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Casa La Palma Apartments,"7777 Valley View, L.P., a California limited partnership",La Palma,Orange,25-103,2025-03-14,authorize,approved,Mariman & Co.,,AOF/Pacific Affordable Housing Corporation,272,270,100% at 80% AMI,30,40500.0,"Grant up to $10,000 (Charitable Affordable Housing)",7777 Valley View Street,,cmfa-meeting-docs
CMFA,The Eaves Apartments,"920 Gramercy Upwell, LP, a Delaware limited partnership",Los Angeles,Los Angeles,25-104,2025-03-14,authorize,approved,Treehouse Community,,Butterfly’s Haven,13,13,100% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)",920 S,,cmfa-meeting-docs
CMFA,Coronado Palms Apartments,"Coronado Owner, LP",Anaheim,Orange,25-102,2025-03-14,authorize,approved,TriWest Multifamily,,"Kingdom Development, Inc.",169,68,40% at 80% AMI,30,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)","1250 S. Euclid St., Anaheim, CA",,cmfa-meeting-docs
CMFA,AVID South & Lime Apartments,"Avid South & Lime, LP",Long Beach,Los Angeles,,2025-03-14,preliminary_only,,Avanath Capital,,BRIDGE Housing Corporation,96,96,100% at 80% AMI,30,14400.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,569th W. 6th Street Apartments,"SIOF 5 Properties, LP",Los Angeles,Los Angeles,,2025-03-14,preliminary_only,,"SoLa Impact, LLC",,Housing on Merit,48,47,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
