project_id,ain,assignment_check
16,128103030,mismatch
16,128103020,mismatch
16,128103010,mismatch
16,128103180,situs-match
16,128103170,situs-match
16,128103160,situs-match
16,128103150,situs-match
16,128103140,situs-match
16,128103130,situs-match
16,128103120,situs-match
16,128103110,situs-match
16,128103100,situs-match
16,128105060,documented
16,128105050,situs-match
16,128105040,situs-match
16,128105030,situs-match
16,128105020,situs-match
16,128105010,situs-match
16,128104020,situs-match
16,128104010,situs-match
225,168150010,situs-match
131,89082034000,no-situs
230,2530007015,situs-match
369,4441201300,situs-match
369,4441201800,situs-match
238,9917523,no-situs
1,5136019023,situs-match
12,5402028022,situs-match
68,2764001012,situs-match
68,2764001014,situs-match
181,7157012023,situs-match
231,5501017045,situs-match
