ain,apn,situs_address,situs_house_no,situs_street,use_description,year_built,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,homeowners_exemp,units,value_source,fetch_date
5469032001,5469-032-001,5635 MONTE VISTA ST LOS ANGELES CA 90042,5635,MONTE VISTA ST,Five or more apartments,1966,2026,7167207,3123451,10290658,0,0,31,la-county-api,2026-08-22
5501013028,5501-013-028,209 S WESTMORELAND AVE LOS ANGELES CA 90004,209,WESTMORELAND AVE,Five or more apartments,1968,2026,99500000,47300000,146800000,0,0,687,la-county-api,2026-08-22
5501016008,5501-016-008,132 S WESTMORELAND AVE LOS ANGELES CA 90004,132,WESTMORELAND AVE,Five or more apartments,1925,2026,1905080,1450458,3355538,0,0,20,la-county-api,2026-08-22
5501017044,5501-017-044,160 S VIRGIL AVE LOS ANGELES CA 90004,160,VIRGIL AVE,Five or more apartments,1971,2026,18210958,30209370,48420328,0,0,159,la-county-api,2026-08-22
5502011009,5502-011-009,454 S CATALINA ST LOS ANGELES CA 90020,454,CATALINA ST,Five or more apartments,1928,2026,5348488,2292209,7640697,0,0,48,la-county-api,2026-08-22
5502019004,5502-019-004,520 S MARIPOSA AVE LOS ANGELES CA 90020,520,MARIPOSA AVE,Five or more apartments,1928,2026,10077442,1623648,11701090,0,0,48,la-county-api,2026-08-22
5502031012,5502-031-012,603 S MARIPOSA AVE LOS ANGELES CA 90005,603,MARIPOSA AVE,"Restaurants, Cocktail Lounges",1925,2026,3974689,684528,4659217,0,0,8,la-county-api,2026-08-22
5503015016,5503-015-016,426 S MANHATTAN PL LOS ANGELES CA 90020,426,MANHATTAN PL,Five or more apartments,1928,2026,4925065,2110742,7035807,0,0,40,la-county-api,2026-08-22
5503015019,5503-015-019,410 S MANHATTAN PL LOS ANGELES CA 90020,410,MANHATTAN PL,Five or more apartments,1963,2026,3422648,2235762,5658410,0,0,21,la-county-api,2026-08-22
5503017013,5503-017-013,516 S ST ANDREWS PL LOS ANGELES CA 90020,516,ST ANDREWS PL,Five or more apartments,1928,2026,763114,13730651,14493765,0,0,59,la-county-api,2026-08-22
5503017019,5503-017-019,509 S MANHATTAN PL LOS ANGELES CA 90020,509,MANHATTAN PL,Five or more apartments,1970,2026,11040807,2760201,13801008,0,0,65,la-county-api,2026-08-22
5503024012,5503-024-012,530 S KINGSLEY DR LOS ANGELES CA 90020,530,KINGSLEY DR,Five or more apartments,1930,2026,6494592,4232309,10726901,0,0,44,la-county-api,2026-08-22
5504029006,5504-029-006,515 S ST ANDREWS PL LOS ANGELES CA 90020,515,ST ANDREWS PL,Five or more apartments,1957,2026,6624483,3588262,10212745,0,0,40,la-county-api,2026-08-22
5517005016,5517-005-016,207 N OXFORD AVE LOS ANGELES CA 90004,207,OXFORD AVE,Five or more apartments,1927,2026,4607090,1974466,6581556,0,0,32,la-county-api,2026-08-22
5518008009,5518-008-009,247 S ALEXANDRIA AVE LOS ANGELES CA 90004,247,ALEXANDRIA AVE,Five or more apartments,1925,2026,3247296,1298917,4546213,0,0,27,la-county-api,2026-08-22
5518008014,5518-008-014,260 S MARIPOSA AVE LOS ANGELES CA 90004,260,MARIPOSA AVE,Five or more apartments,1927,2026,5520403,3036221,8556624,0,0,40,la-county-api,2026-08-22
5518013007,5518-013-007,103 S EDGEMONT ST LOS ANGELES CA 90004,103,EDGEMONT ST,Five or more apartments,1930,2026,6654622,2716657,9371279,0,0,40,la-county-api,2026-08-22
5518013024,5518-013-024,130 S ALEXANDRIA AVE LOS ANGELES CA 90004,130,ALEXANDRIA AVE,Five or more apartments,1990,2026,10256043,3761450,14017493,0,0,30,la-county-api,2026-08-22
5518020021,5518-020-021,200 S KENMORE AVE LOS ANGELES CA 90004,200,KENMORE AVE,Five or more apartments,1926,2026,6900505,2484181,9384686,0,0,48,la-county-api,2026-08-22
5518026004,5518-026-004,236 N BERENDO ST LOS ANGELES CA 90004,236,BERENDO ST,Single,1920,2026,1040400,374544,1414944,0,0,1,la-county-api,2026-08-22
5518027010,5518-027-010,3715 W 1ST ST LOS ANGELES CA 90004,3715,1ST ST,Five or more apartments,1926,2026,2208161,9936726,12144887,0,0,55,la-county-api,2026-08-22
5521010010,5521-010-010,516 N HARVARD BLVD LOS ANGELES CA 90004,516,HARVARD BLVD,Five or more apartments,1928,2026,5899254,2273106,8172360,0,0,40,la-county-api,2026-08-22
5521023008,5521-023-008,437 N ARDMORE AVE LOS ANGELES CA 90004,437,ARDMORE AVE,Five or more apartments,1925,2026,11155189,2342588,13497777,0,0,69,la-county-api,2026-08-22
5534006026,5534-006-026,6223 BANNER AVE LOS ANGELES CA 90038,6223,BANNER AVE,Single,0000,2026,3459330,0,3459330,0,0,0,la-county-api,2026-08-22
5537006002,5537-006-002,5406 LEXINGTON AVE LOS ANGELES CA 90029,5406,LEXINGTON AVE,Five or more apartments,1928,2026,6637472,2844631,9482103,0,0,42,la-county-api,2026-08-22
5540019012,5540-019-012,1141 N VERMONT AVE LOS ANGELES CA 90029,1141,VERMONT AVE,Professional Buildings,1982,2026,4090000,0,4090000,0,0,0,la-county-api,2026-08-22
5540025003,5540-025-003,1178 N EDGEMONT ST LOS ANGELES CA 90029,1178,EDGEMONT ST,Single,1919,2026,1186056,62424,1248480,0,0,1,la-county-api,2026-08-22
5544016002,5544-016-002,5200 HOLLYWOOD BLVD LOS ANGELES CA 90027,5200,HOLLYWOOD BLVD,Five or more apartments,1913,2026,3247296,1537053,4784349,0,0,20,la-county-api,2026-08-22
5547013021,5547-013-021,6762 HAWTHORN AVE LOS ANGELES CA 90028,6762,HAWTHORN AVE,Five or more apartments,2022,2026,4551315,4329576,8880891,0,0,69,la-county-api,2026-08-22
6005021032,6005-021-032,6200 S BROADWAY LOS ANGELES CA 90003,6200,BROADWAY,Commercial,2012,2026,1353040,0,1353040,0,0,1,la-county-api,2026-08-22
6006018001,6006-018-001,6401 AVALON BLVD LOS ANGELES CA 90003,6401,AVALON BLVD,Commercial,,2026,435050,0,435050,0,0,0,la-county-api,2026-08-22
6011008052,6011-008-052,325 E FLORENCE AVE LOS ANGELES CA 90003,325,FLORENCE AVE,Five or more apartments,2023,2026,648560,5431558,6080118,0,0,31,la-county-api,2026-08-22
6018007001,6018-007-001,1454 W FLORENCE AVE LOS ANGELES CA 90047,1454,FLORENCE AVE,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",1932,2026,1224000,0,1224000,0,0,0,la-county-api,2026-08-22
6022014002,6022-014-002,7655 S SAN PEDRO ST LOS ANGELES CA 90003,7655,SAN PEDRO ST,Store Combination,1934,2026,816000,0,816000,0,0,2,la-county-api,2026-08-22
6048004025,6048-004-025,9515 COMPTON AVE LOS ANGELES CA 90002,9515,COMPTON AVE,Five or more apartments,,2026,668193,711247,1379440,0,0,0,la-county-api,2026-08-22
