input_address,normalized_address,geocode_status,geocode_score,geocode_address,lat,lon,parcel_count,primary_ain,primary_apn,error,row_id,orig_cand_parcelnumb_no_formatting,orig_query_Address,orig_cand_address,orig_cand_usecode,orig_cand_usedesc,orig_cand_zoning,orig_cand_zoning_description,orig_cand_numunits,orig_cand_parvaltype,orig_cand_parval,orig_exemption value,orig_cand_owner,orig_cand_mailadd,orig_cand_saddno,orig_cand_saddstr,orig_cand_county,orig_cand_gisacre,orig_cand_ll_gisacre,orig_query_Applicant / Entity,orig_query_Property Name,orig_query_City,orig_query_County,orig_query_Grant Description,orig_query_Resolution,orig_query_Date,orig_query_Investor 1,orig_query_Investor 2,orig_query_Nonprofit Partner,orig_query_Link,orig_query_New build?,orig_query_Acquisition Price (M),orig_query_Acquisition Date,orig_query_TOTAL UNITS,orig_query_Rent Restricted,orig_PERCENT AFFORDABLE,orig_ESTIMATED VALUE OF EXEMPTION IF IT GOES THROUGH,orig_query_Built,orig_query_HAVE RECIEVED WELFARE TAX EXEMPTION,orig_query_Leasing Link,orig_query_APN No. 1,orig_query_APN No. 2,orig_query_Unnamed: 22,orig_query_Property Taxes Link,orig_query_23 Ass. Value,orig_query_25 Ass. Value,orig_query_Unnamed: 26,orig_query_City's Cut,orig_query_ED 1?,orig_query_Last Tax Amt,orig_query_Last Tax Yr,orig_query_Current Amt,orig_query_Current Yr,orig_query_address_number
7524 S HOOVER ST LOS ANGELES CA 90044-6008,"7524 S HOOVER ST, LOS ANGELES, CA, 90044-6008",fetched,99.3,"7524 South Hoover St, Los Angeles, CA, 90044",33.97146085178805,-118.28703377058727,1,6020022001,6020-022-001,,89,6020022025,7524 S HOOVER ST LOS ANGELES CA,7524 S HOOVER ST LOS ANGELES CA 90044-6008,109,Residential - Single,[Q]R3-1,Qualified Multiple Residential,0.0,GROSS ASSESSED,"$1,300,500.00",,2974 PROPERTIES INC AND,PO BOX 5569,7524.0,HOOVER,los-angeles,,0.32828,"PS 7518 Hoover St, LP",7524 S. Hoover St Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-513,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,,,,79.0,78.0,0.9873417722,"$1,284,037.97",,,,,,,,,,,"$11,850",YES,,,,,7524.0
7940 RESEDA BLVD RESEDA CA 91335-1927,"7940 RESEDA BLVD, RESEDA, CA, 91335-1927",fetched,100.0,"7940 Reseda Boulevard, Reseda, CA, 91335",34.214585081298374,-118.53601532414534,1,2102015002,2102-015-002,,90,2102015045,7940 RESEDA BOULEVARD RESEDA CA,7940 RESEDA BLVD RESEDA CA 91335-1927,501,Residential - Five or more apartments,R3-1,Multiple Residential,58.0,GROSS ASSESSED,"$17,952,000.00",,HACIENDA INVESTORS LP,15301 VENTURA BLVD STE B570,7940.0,RESEDA,los-angeles,,1.52936,Hacienda Investors LP,Pinetree Terrace Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-220,6/7/2024,GHC Housing Partners,,Foundation for Affordable Housing,,,06/28/2024,"$17,600,000",58.0,58.0,1.0,"$17,952,000.00",,YES,,2102015045,,,,"5,715,513","2,251,812",,"$8,700",,,,,,7940.0
801 WATERLOO ST LOS ANGELES CA 90026-4039,"801 WATERLOO ST, LOS ANGELES, CA, 90026-4039",fetched,99.3,"801 Waterloo St, Los Angeles, CA, 90026",34.07565011919613,-118.26833478941153,1,5402028023,5402-028-023,,92,5402028023,801-809 WATERLOO STREET LOS ANGELES CA,801 WATERLOO ST LOS ANGELES CA 90026-4039,500,Residential - Five or more apartments,RD1.5-1VL,Restricted Density Multiple Dwelling Very Limited Height District,5.0,GROSS ASSESSED,"$1,387,200.00",,801 WATERLOO PARTNERS LP,4346 REDWOOD AVE UNIT 107,801.0,WATERLOO,los-angeles,,0.14461,"801 Waterloo Partners, LP",The Waterloo Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-053,02/23/2024,The Greg Scott Company,,"Kingdom Development, Inc.",,,,,154.0,154.0,1.0,"$1,387,200.00",,,,5402028023,5402028022,5402028021,,,,,"$23,250",,,,,,801.0
808 S HOBART BLVD LOS ANGELES CA 90005-2777,"808 S HOBART BLVD, LOS ANGELES, CA, 90005-2777",fetched,99.3,"808 South Hobart Boulevard, Los Angeles, CA, 90005",34.05749249050996,-118.30527651120339,1,5093017031,5093-017-031,,94,5093017031,808 S HOBART BOULEVARD LOS ANGELES CA,808 S HOBART BLVD LOS ANGELES CA 90005-2777,055G,Residential - Five or more apartments,R4-2,Multiple Residential,49.0,GROSS ASSESSED,"$7,984,000.00",,808 S HOBART LLC,PO BOX 46342,808.0,HOBART,los-angeles,,0.39591,808 S Hobart LLLP,Ashby Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-450,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,49.0,49.0,1.0,"$7,984,000.00",,,,,,,,,,,"$7,350",,,,,,808.0
861 FEDORA ST LOS ANGELES CA 90005-2162,"861 FEDORA ST, LOS ANGELES, CA, 90005-2162",fetched,99.3,"861 Fedora St, Los Angeles, CA, 90005",34.05662874612688,-118.29769420897479,2,5094017016,5094-017-016,,97,5094017020,861 FEDORA STREET LOS ANGELES CA,861 FEDORA ST LOS ANGELES CA 90005-2162,500,Residential - Five or more apartments,R4-2,Multiple Residential,39.0,GROSS ASSESSED,"$9,710,053.00",,861 FEDORA LLC,PO BOX 46342,861.0,FEDORA,los-angeles,,0.27877,861 Fedora LLLP,Fedora Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-488,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,39.0,39.0,1.0,"$9,710,053.00",,,,,,,,,,,"$5,850",,,,,,861.0
915 S KENMORE AVE LOS ANGELES CA 90006-1557,"915 S KENMORE AVE, LOS ANGELES, CA, 90006-1557",fetched,99.3,"915 South Kenmore Avenue, Los Angeles, CA, 90006",34.05541380214575,-118.29660081486644,2,5094023024,5094-023-024,,98,5094023025,915 S KENMORE AVENUE LOS ANGELES CA,915 S KENMORE AVE LOS ANGELES CA 90006-1557,500,Residential - Five or more apartments,R4-1,Multiple Residential,18.0,GROSS ASSESSED,"$2,950,157.00",,KENMORE LLC,345 N MAPLE DR STE 135,915.0,KENMORE,los-angeles,,0.14729,915 S Kenmore LLLP,Kenmore III Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-490,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,18.0,18.0,1.0,"$2,950,157.00",,,,,,,,,,,"$2,700",,,,,,915.0
920 S GRAMERCY PL LOS ANGELES CA 90019-2141,"920 S GRAMERCY PL, LOS ANGELES, CA, 90019-2141",fetched,99.3,"920 South Gramercy Place, Los Angeles, CA, 90019",34.05511306847161,-118.31315052802996,2,5092023021,5092-023-021,,99,5092023021,920 S GRAMERCY PLACE LOS ANGELES CA,920 S GRAMERCY PL LOS ANGELES CA 90019-2141,550,Residential - Five or more apartments,R3-1,Multiple Residential,13.0,GROSS ASSESSED,"$2,756,721.00",,920 GRAMERCY UPWELL LLC,626 WILSHIRE BLVD STE 410,920.0,GRAMERCY,los-angeles,,0.17216,"920 Gramercy Upwell, LP, a Delaware limited partnership",The Eaves Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-104,3/14/2025,Treehouse Community,,Butterfly’s Haven,,,,,13.0,13.0,1.0,"$2,756,721.00",,,,,,,,,,,"$2,500",,,,,,920.0
9300 COMPTON AVE XX LOS ANGELES CA 90002-2489,"9300 COMPTON AVE, XX LOS ANGELES, CA, 90002-2489",fetched,94.72,"9300 Compton Avenue, Los Angeles, CA, 90002",33.95237143012039,-118.24597193279068,2,6048022065,6048-022-065,,100,6048022067,9300 COMPTON AVE LOS ANGELES CA,9300 COMPTON AVE XX LOS ANGELES CA 90002-2489,010V,Residential - Single,R3-1,Multiple Residential,0.0,GROSS ASSESSED,"$595,337.00",,6 SIOF 9300 COMPTON AVE LLC,8629 S VERMONT AVE,9300.0,COMPTON,los-angeles,,0.20661,"6 SIOF 9300 Compton Ave, LP",9300 Compton Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-284,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,20.0,19.0,0.95,"$565,570.15",,,,,,,,,,,"$2,850",,,,,,9300.0
9301 CRENSHAW BLVD INGLEWOOD CA 90305-2943,"9301 CRENSHAW BLVD, INGLEWOOD, CA, 90305-2943",fetched,100.0,"9301 Crenshaw Boulevard, Inglewood, CA, 90305",33.952310551434365,-118.32656115617326,0,,,,101,4025014001,"9301 – 9609 CRENSHAW
BLVD INGLEWOOD CA",9301 CRENSHAW BLVD INGLEWOOD CA 90305-2943,400,Residential - Four Units (Any Combination),R-3,Residential Multiple Family,4.0,GROSS ASSESSED,"$1,345,000.00",,SV INGLEWOOD HOLDINGS LP,3111 CAMINO DEL RIO N STE 800,9301.0,CRENSHAW,los-angeles,,0.17763,"SV INGLEWOOD HOLDINGS, L.P., a California limited partnership",Stadium Village Apartments,Inglewood,Los Angeles,"Grant up to $10,000",24-361,8/30/2024,Community HousingWorks,,Community HousingWorks,,,,,80.0,80.0,1.0,"$1,345,000.00",,,,,,,,,,,"$12,000",,,,,,9301.0
941 S KENMORE AVE LOS ANGELES CA 90006-1558,"941 S KENMORE AVE, LOS ANGELES, CA, 90006-1558",fetched,99.3,"941 South Kenmore Avenue, Los Angeles, CA, 90006",34.054551079844934,-118.29659836708568,1,5094023030,5094-023-030,,102,5094023030,941 S KENMORE AVENUE LOS ANGELES CA,941 S KENMORE AVE LOS ANGELES CA 90006-1558,500,Residential - Five or more apartments,R4-1,Multiple Residential,24.0,GROSS ASSESSED,"$4,338,468.00",,941 S KENMORE LLC,PO BOX 46342,941.0,KENMORE,los-angeles,,0.15319,Kenmore 20 LLLP,Kenmore I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-455,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,42.0,42.0,1.0,"$4,338,468.00",,,,,,,,,,,"$3,600",,,,,,941.0
9515 COMPTON AVE LOS ANGELES CA 90002-2330,"9515 COMPTON AVE, LOS ANGELES, CA, 90002-2330",fetched,99.3,"9515 Compton Avenue, Los Angeles, CA, 90002",33.9498462170557,-118.24620969936305,2,6048004027,6048-004-027,,103,6048004025,9515 COMPTON AVENUE LOS ANGELES CA,9515 COMPTON AVE LOS ANGELES CA 90002-2330,500,Residential - Five or more apartments,R3-1,Multiple Residential,0.0,GROSS ASSESSED,"$1,352,393.00",,6 SIOF 9515 COMPTON AVE LLC,8629 S VERMONT AVE,9515.0,COMPTON,los-angeles,,0.22116,"6 SIOF 9515 Compton Ave, LP",9515 Compton Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-286,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,21.0,20.0,0.9523809524,"$1,287,993.33",,,,,,,,,,,"$3,000",,,,,,9515.0
960 S OXFORD AVE LOS ANGELES CA 90006-1164,"960 S OXFORD AVE, LOS ANGELES, CA, 90006-1164",fetched,99.3,"960 South Oxford Avenue, Los Angeles, CA, 90006",34.05382371026373,-118.30736904560885,1,5080015003,5080-015-003,,104,5080015003,960 S OXFORD AVENUE LOS ANGELES CA,960 S OXFORD AVE LOS ANGELES CA 90006-1164,500,Residential - Five or more apartments,R4-1,Multiple Residential,73.0,GROSS ASSESSED,"$14,206,920.00",,960 S OXFORD LLC,11030 SANTA MONICA BLVD STE 300,960.0,OXFORD,los-angeles,,0.56148,960 S Oxford LLLP,Oxford III Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-461,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,73.0,73.0,1.0,"$14,206,920.00",,,,,,,,,,,"$10,950",,,,,,960.0
974 S GRAMERCY PL LOS ANGELES CA 90019-2169,"974 S GRAMERCY PL, LOS ANGELES, CA, 90019-2169",fetched,99.3,"974 South Gramercy Place, Los Angeles, CA, 90019",34.0531481028111,-118.31316507105772,27,5081032008,5081-032-008,,105,5081032007,974 S GRAMERCY PLACE LOS ANGELES CA,974 S GRAMERCY PL LOS ANGELES CA 90019-2169,500,Residential - Five or more apartments,R3-1,Multiple Residential,38.0,GROSS ASSESSED,"$7,216,214.00",,974 S GRAMERCY LLC AND,345 N MAPLE DR STE 135,974.0,GRAMERCY,los-angeles,,0.15762,Carson Gramercy LLLP // 974 S Gramercy LLLP,Gramercy Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-453,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,38.0,38.0,1.0,"$7,216,214.00",,,,,,,,,,,"$5,700",,,,,,974.0
975 S OXFORD AVE LOS ANGELES CA 90006-1167,"975 S OXFORD AVE, LOS ANGELES, CA, 90006-1167",fetched,99.3,"975 South Oxford Avenue, Los Angeles, CA, 90006",34.05352743492758,-118.30750008171889,1,5080008006,5080-008-006,,106,5080008006,975-985 S OXFORD AVENUE LOS ANGELES CA,975 S OXFORD AVE LOS ANGELES CA 90006-1167,500,Residential - Five or more apartments,R4-1,Multiple Residential,20.0,GROSS ASSESSED,"$3,420,921.00",,OXFORD 19 LLC,345 N MAPLE DR STE 135,975.0,OXFORD,los-angeles,,0.15572,Oxford 19 LLLP,Oxford I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-460,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,60.0,60.0,1.0,"$3,420,921.00",,,,,,,,,,,"$9,000",,,,,,975.0
9830.0 RESEDA BLVD NORTHRIDGE CA 91324-2060,"9830.0 RESEDA BLVD RTHRIDGE, , CA 91324-2060",fetched,,,,,0,,,No geocode match,107,2764001013,9830 RESEDA BLVD NORTHRIDGE CA 91324,9830.0 RESEDA BLVD NORTHRIDGE CA 91324-2060,501,Residential - Five or more apartments,R3-1,Multiple Residential,68.0,GROSS ASSESSED,"$17,292,725.00",,WRPV XII CANDLEWOOD NORTHRIDGE LLC,30 S WACKER DR 36TH FL,9830.0,RESEDA,los-angeles,,1.13433,"Post Candlewood North, LP",Candlewood North Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-117,4/4/2025,Post Investment Group,,Integrity Housing,,NO,,,189.0,189.0,1.0,"$17,292,725.00",1964,,,,,,,,,,"$28,350",,,,,,9830.0
