Applicant / Entity,Property Name,City,County,Grant Description,Agency,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,TOTAL UNITS,Rent Restricted,Built,Address,HAVE RECIEVED WELFARE TAX EXEMPTION,Leasing Link,APN No. 1,APN No. 2,,Property Taxes Link,23 Ass. Value,25 Ass. Value,,City's Cut,ED 1?,Last Tax Amt,Last Tax Yr,Current Amt,Current Yr
Standard Properties,Summerwood Apartments Homes Apartments,Hayward,Alameda,,CMFA,24-400,10/11/2024,Standard Properties,,Housing on Merit,,NO,,,162,162,,"21701 Foothill Blvd, Hayward, CA 94541",,,,,,,,,,"$9,900",,,,,
699 14TH Street CSLC LP,Market Street Village Apartments,San Diego,San Diego,"Grant up to $10,000",CMFA,24-427,11/1/2024,Community Solutions,,Community Solutions,,NO,,,229,229,,"699 14th Street, San Diego, CA",,,,,,,,,,"$34,350",,,,,
"Post Creekside, LP",Creekside Villas Apartments,San Diego,San Diego,"Grant up to $10,000",CMFA,24-429,11/1/2024,Post Investment Group,,Integrity Housing,,NO,,,145,144,1984,"220 47th St, San Diego, CA 92102",,,,,,,,,,"$21,600",,,,,
1201 Fulton Ave LP,The Carla Apartments,Unincorporated,Sacramento,"Grant up to $10,000",CMFA,24-428,11/1/2024,"Trion Properties, Inc.",,Riverside Charitable Corporation,,NO,,,63,62,,"1201 Fulton Ave, Sacramento, CA 95825",,,,,,,,,,"$9,300",,,,,
"Trion Skylark Properties, LP",Skylark Place by Trion Living Apartments,Unincorporated,Sacramento,"Grant up to $10,000",CMFA,24-430,11/1/2024,"Trion Properties, Inc.",,Integrity Housing,,NO,,,198,198,1973/1991,"6930 Fair Oaks Blvd, Carmichael, CA 95608",,,,,,,,,,"$29,700",,,,,
"Avanath Seaport, LP",Seaport Village Apartments,Long Beach,Los Angeles,"Grant up to $10,000",CMFA,24-442,11/22/2024,Avanath Capital,,"Pacific Housing, Inc.",,NO,,,356,144,,"5601 North Paramount Boulevard, Long Beach, Los Angeles",YES,,,,,,,,,"$21,600",,,,,
1457 Main Owner LP,1457 Main Street Apartments,Los Angeles,Los Angeles,,CMFA,24-443,11/22/2024,Thrive Living,,"Kingdom Development, Inc.",,YES,,,377,151,,"1457 N Main St, Los Angeles, CA 90012",,,,,,,,,,"$22,650",,,,,
651 Addison LLC,Viewpoint Apartments,Berkeley,Alameda,"Grant up to $10,000",CMFA,24-470,12/13/2024,Bridge Housing,,Bridge Housing,,,,,94,71,,"651 Addison St, Berkeley, CA 94710",,https://bridgehousing.com/properties/viewpoint/,56-1954-9,,,https://propertytax.alamedacountyca.gov/view-bill?taxType=SEC&tracer=14246000&rollYear=2025,,,,"$10,650",,"$581,275.14",2025,,
BWF III Ethos CA Los Gatos Creek LP,SoFi Los Gatos Creek Apartments,San Jose,Santa Clara,"Grant up to $10,000",CMFA,24-472,12/13/2024,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",https://www.ethos-re.com/news/sofi-at-los-gatos-creek-adam-siegman-comments-on-affordable-housing,NO,61.1,12/31/2024,193,193,1969,"2130 Southwest Expy, San Jose, CA 95126",,https://www.losgatoslandingapts.com/,284-24-015,,,https://www.sccassessor.org/index.php/all-situs-search?SFrom=all&SType=all&STab=address&addValue=2130%20Southwest%20Expressway&guid=3901f7e4-ad19-4bf2-9ca2-03134f319849,"$38,088,016","$17,709,486",,"$28,950",,"$397,013.56",2024,272122.5,2025
"Post Chaparral, LP",Chaparral Apartments,Palmdale,Los Angeles,"Grant up to $10,000",CMFA,24-473,12/13/2024,Post Investment Group,,Integrity Housing,,NO,,,296,296,,"38441 5th St W, Palmdale, CA 93551",YES,,,,,,,,,"$44,400",,,,,
