project_id,county,property,ain,legacy_ain,legacy_redundant,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_total_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes,CMFA Total Units,CMFA Restricted,Total Tax Rate
35,Sacramento,Sierra Park Apartments,22802520400000,,False,228-0252-040-0000,4924 POLK ST NORTH HIGHLANDS CA 95660,,,4930 POLK ST NORTH HIGHLANDS CA 95660,,,,,,,,,,,,,2913120,22733780,25646900,,,23179668,North Highlands,,,,,,104,104,0.011785
36,Los Angeles,Stadium Village Apartments,4025014001,,False,4025-014-001,9301 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2943,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4073,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.9521166,-118.32697547,TRACT NO 16139 LOT    1,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014002,,False,4025-014-002,9309 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2951,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4072,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95194519,-118.32697407,TRACT NO 16139 LOT    2,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014003,,False,4025-014-003,9317 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2959,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4072,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95178025,-118.32697379,TRACT NO 16139 LOT    3,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014004,,False,4025-014-004,9325 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2964,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4073,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95161543,-118.32697355,TRACT NO 16139 LOT    4,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014005,,False,4025-014-005,9333 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2969,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4038,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95145055,-118.32697342,TRACT NO 16139 LOT    5,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014006,,False,4025-014-006,9341 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2970,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4038,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95128566,-118.3269731,TRACT NO 16139 LOT    6,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014007,,False,4025-014-007,9401 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2979,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4073,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95112078,-118.32697297,TRACT NO 16139 LOT    7,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014008,,False,4025-014-008,9409 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2980,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4073,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.9509559,-118.32697268,TRACT NO 16139 LOT    8,Multi-parcel (20),80,80,0.01280765
36,Los Angeles,Stadium Village Apartments,4025014009,,False,4025-014-009,9417 CRENSHAW BLVD INGLEWOOD CA 90305,INGLEWOOD CA,90305-2981,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Residential,400,1955,4,8,4,4038,2025,770000,575000,1345000,2025,2025,0,4569,INGLEWOOD,33.95079106,-118.3269725,TRACT NO 16139 LOT    9,Multi-parcel (20),80,80,0.01280765
