Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date
52,The Carla Apartments,1201 Fulton Ave LP,Unincorporated,Sacramento,CMFA,"Grant up to $10,000",24-428,11/1/2024,"Trion Properties, Inc.",,Riverside Charitable Corporation,FALSE,63,62,,"1201 Fulton Ave, Sacramento, CA 95825","$9,300",TRUE,FALSE,"$15,111,810.00",$0.00,"$13,384,746.00","$13,384,746.00",1.15%,$0.00,"$153,308.88",,,NO,,,
53,Skylark Place by Trion Living Apartments,"Trion Skylark Properties, LP",Unincorporated,Sacramento,CMFA,"Grant up to $10,000",24-430,11/1/2024,"Trion Properties, Inc.",,Integrity Housing,FALSE,198,198,,"6930 Fair Oaks Blvd, Carmichael, CA 95608","$29,700",TRUE,FALSE,"$12,145,525.00",$0.00,"$10,930,972.50","$10,930,972.50",1.19%,$0.00,"$129,783.44",,,NO,1973/1991,,
54,Seaport Village Apartments,"Avanath Seaport, LP",Long Beach,Los Angeles,CMFA,"Grant up to $10,000",24-442,11/22/2024,Avanath Capital,,"Pacific Housing, Inc.",FALSE,356,144,40.45%,"5601 North Paramount Boulevard, Long Beach, Los Angeles","$21,600",TRUE,TRUE,"$94,978,083.00","$41,642,082.00","$34,576,290.89","$41,642,082.00",1.2065%,"$502,411.30","$502,411.30",,,NO,,,
55,1457 Main Street Apartments,1457 Main Owner LP,Los Angeles,Los Angeles,CMFA,,24-443,11/22/2024,Thrive Living,,"Kingdom Development, Inc.",FALSE,377,151,40.05%,"1457 N Main St, Los Angeles, CA 90012","$22,650",TRUE,TRUE,"$17,293,255.00","$16,976,485.00","$6,233,828.53","$16,976,485.00",1.1874%,"$201,575.39","$201,575.39",,,YES,,,
56,Viewpoint Apartments,651 Addison LLC,Berkeley,Alameda,CMFA,"Grant up to $10,000",24-470,12/13/2024,Bridge Housing,,Bridge Housing,FALSE,94,71,,"651 Addison St, Berkeley, CA 94710","$10,650",TRUE,FALSE,"$31,838,150.00",$0.00,"$21,643,167.93","$21,643,167.93",1.23%,$0.00,"$266,708.76",,https://bridgehousing.com/properties/viewpoint/,,,,
57,SoFi Los Gatos Creek Apartments,BWF III Ethos CA Los Gatos Creek LP,San Jose,Santa Clara,CMFA,"Grant up to $10,000",24-472,12/13/2024,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",FALSE,193,193,,"2130 Southwest Expy, San Jose, CA 95126","$28,950",TRUE,TRUE,"$36,559,633.00","$18,850,147.00","$32,903,669.70","$18,850,147.00",1.24%,"$233,760.67","$233,760.67",https://www.ethos-re.com/news/sofi-at-los-gatos-creek-adam-siegman-comments-on-affordable-housing,https://www.losgatoslandingapts.com/,NO,1969,61.1,12/31/2024
58,Chaparral Apartments,"Post Chaparral, LP",Palmdale,Los Angeles,CMFA,"Grant up to $10,000",24-473,12/13/2024,Post Investment Group,,Integrity Housing,FALSE,296,296,100.00%,"38441 5th St W, Palmdale, CA 93551","$44,400",TRUE,TRUE,"$14,702,565.00","$4,371,074.00","$13,232,308.50","$4,371,074.00",1.2331%,"$53,899.10","$53,899.10",,,NO,,,
59,Ventana Residences Apartments,99 Ocean Avenue LP,San Francisco,San Francisco,CMFA,"Grant up to $10,000",24-471,12/13/2024,"Presidio Bay Ventures, LLC",,"Pacific Housing, Inc",FALSE,193,100,,"99 OCEAN AVE SAN FRANCISCO, CA 94112-2548","$15,000",TRUE,FALSE,"$82,453,101.00",$0.00,"$38,449,632.59","$38,449,632.59",1.20%,$0.00,"$461,395.59",,,YES,2023,,
60,HARKEN APARTMENTS,Prometheus Real Estate Group,Los Altos,Santa Clara,CMFA,,25-065,1/31/2025,"Prometheus Real Estate Group, Inc.",,Hearthstone Housing Foundation,FALSE,196,29,,"5150 El Camino Real, Los Altos, CA","$4,350",TRUE,FALSE,"$50,937,984.00",$0.00,"$6,783,068.28","$6,783,068.28",1.13%,$0.00,"$76,431.61",,,YES,,,
61,11422 Broadway Apartments,"BIF IMPACT OZ 1100 BROADWAY BLK, LP",Los Angeles,Los Angeles,CMFA,,25-081,2/21/2025,"SoLa Impact, LLC",,Housing on Merit,FALSE,166,165,99.40%,"11422 S Broadway, Los Angeles, CA 90061","$24,750",TRUE,FALSE,"$2,850,591.00",$0.00,"$2,550,076.89","$2,550,076.89",1.1874%,$0.00,"$30,279.10",,,YES,,,
