project_id,ain,legacy_ain,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_fixture_value,roll_pers_prop_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes
46,5109003001,,5109-003-001,4760 S MAIN ST LOS ANGELES CA 90037,LOS ANGELES CA,90037-3251,"4752 Main St, Los Angeles, CA 90037",4752 Main Street Apartments,,manual_verified_multi,Parking Lots (Commercial Use Properties),Commercial,2700,1955,1,0,0,5625,2025,697085,1081,,,2021,2021,0,06659,LOS ANGELES,33.99994304,-118.27370905,LINN HOME TRACT W 75 FT OF LOTS 1 AND LOT    2,Multi-parcel (2)
61,6087002036,,6087-002-036,11422 S BROADWAY LOS ANGELES CA 90061,LOS ANGELES CA,90061-1833,"11422 S Broadway, Los Angeles, CA 90061",11422 Broadway Apartments,,manual_verified,"Warehousing, Distribution, Storage",Industrial,33T0,1917,0,0,0,10608,2025,2382411,468180,,,2023,2023,0,06654,LOS ANGELES,33.93033691,-118.27760877,TR=3039 EX OF ST LOTS 23 THRU 29 AND POR OF LOT C BLK 20,
62,5049009082,,5049-009-082,, , ,"2533 S Mansfield Ave, Los Angeles, CA 90016",Mansfield Micro Apartments,,manual_verified,Single,Residential,010V,,,,,,2025,2065837,0,,,2017,2017,0,00401,LOS ANGELES,34.03322648,-118.35192845,"TR=1566 EX ALLEYS LOT 81, EX ST LOTS 82, 83, EX ST AND ALLEY LOTS 84 AND 85",
64,5160009020,,5160-009-020,333 DOUGLAS ST LOS ANGELES CA 90026,LOS ANGELES CA,90026-5632,"333 Douglas St, Los Angeles, CA",333 Douglas Apartments,,manual_verified,Single,Residential,0100,1906,1,2,1,858,2025,1040400,104040,,,2023,2023,0,00067,LOS ANGELES,34.0657437,-118.2579405,"L A IMP COS SUB OF PARTS OF LOTS 2,3,7 AND 8 BLK 39 H S LOT   34 BLK   15",
66,5092023021,,5092-023-021,920 S GRAMERCY PL LOS ANGELES CA 90019,LOS ANGELES CA,90019-2141,"920 S. Gramercy Place, Los Angeles, CA",The Eaves Apartments,,manual_verified,Five or more apartments,Residential,0550,2024,13,42,46,20594,2025,999261,6803400,,,2017,2024,0,00067,LOS ANGELES,34.05514057,-118.31289902,COUNTRY CLUB PARK LOT   11 BLK    8,
76,5036031006,,5036-031-006,1451 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90062,LOS ANGELES CA,90062-1224,"1451 W. MLK Blvd, Los Angeles, CA",1451 W. MLK Boulevard Apartments,,manual_verified,"Restaurants, Cocktail Lounges",Commercial,2110,1948,0,0,0,1032,2025,1564113,5412,,,2021,2021,0,00210,LOS ANGELES,34.01108187,-118.30202644,DALTON AVENUE SQUARE LOT 34 AND EX OF ST LOT   35,
73,5159020026,5159020011-015,5159-020-026,, , ,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,parcel_in_transition,(pending),Residential,040V,1890,2,4,2,2957,,,,,,0000,0000,,00067,LOS ANGELES,34.06620778,-118.26124941,GLASSELL'S SUB OF LOT # 7 ETC BLOCK 39 HANCOCK SURVEY # 1 LOT 11 THRU 15 BLK G,Legacy AIN 5159020011-015 consolidated to 5159020026
73,5159020010,,5159-020-010,1526 W COURT ST LOS ANGELES CA 90026,LOS ANGELES CA,90026-5510,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,manual_verified_multi,Single,Residential,0100,1910,1,3,1,764,2025,133729,45953,,,2003,2003,0,00067,LOS ANGELES,34.06613047,-118.26116567,GLASSELL'S SUB OF LOT # 7 ETC BLOCK 39 HANCOCK SURVEY # 1 LOT   10 BLK    G,Multi-parcel (7)
73,5159020009,,5159-020-009,1520 W COURT ST LOS ANGELES CA 90026,LOS ANGELES CA,90026-5510,"1540 W Court St, Los Angeles, CA 90026",1540 W Court Apartments,,manual_verified_multi,Single,Residential,0100,1923,1,2,2,876,2025,90595,118474,,,2005,2005,0,00067,LOS ANGELES,34.06604793,-118.26108758,GLASSELL'S SUB OF LOT # 7 ETC BLOCK 39 HANCOCK SURVEY # 1 LOT    9 BLK    G,Multi-parcel (7)
77,6083010040,6083010038,6083-010-040,,,,"11630 Main St, Los Angeles, CA 90061",11630 S. Main Street Apartments,,parcel_in_transition,(pending),,,,,,,,,,,,,,,,,LOS ANGELES,33.92890665,-118.27353883,,Legacy AIN 6083010038 consolidated to 6083010040
81,6011008052,,6011-008-052,325 E FLORENCE AVE LOS ANGELES CA 90003,LOS ANGELES CA,90003-2259,"321 E. Florence Ave, Los Angeles, CA ",321 E. Florence Apartments,,manual_verified,Five or more apartments,Residential,0555,2023,31,28,31,18794,2025,635844,5325057,,,2019,2023,0,06659,LOS ANGELES,33.97496923,-118.26870178,TR=2395 EX OF ST LOTS 29 AND 30 BLK 3,
82,6048022067,,6048-022-067,9300 COMPTON AVE XX LOS ANGELES CA 90002,LOS ANGELES CA,90002-2324,"9300 Compton Ave., Los Angeles, CA",9300 Compton Ave. Apartments,,manual_verified,Single,Residential,010V,,,,,,2025,595337,0,,,2021,2021,0,00460,LOS ANGELES,33.95230524,-118.24563049,BOSSHARD TRACT 1/2 VAC ALLEY ADJ ON E AND (EX OF ST) LOT 34,
87,5501013028,,5501-013-028,209 S WESTMORELAND AVE LOS ANGELES CA 90004,LOS ANGELES CA,90004-6109,"209 Westmoreland Ave, Los Angeles, CA 90004",Chadwick Apartments,,manual_verified,Five or more apartments,Residential,0501,1968,0,0,0,24900,2025,64541298,64541298,,1118200,2010,2010,0,00067,LOS ANGELES,34.07069507,-118.28843033,"LOT (EX OF ST) COM AT SW COR OF LOT 110 FOREST PARK SUB NO 1 TH S 89¢49' W 233.68 FT TH S 0¢18' E 524.7 FT TH N 86¢29'35"" W 180.42 FT TH N 0¢18' W 432.77 FT TH S 89¢52'15"" W TO NE LINE OF JUANITA AVE TH NW THEREON 61.7 FT TH N 89¢36'30"" E 45.9 FT TH N 0¢22'50"" W 380.07 FT TH N 89¢03'10"" E TO W LINE OF SD TR TH S THEREON 369.85 FT TO BEG PART OF NW 1/4 OF SEC   19 T   1S R 13W",
88,2695003030,2695003001,2695-003-030,,LOS ANGELES CA,91344-5727,"17188 Chatsworth St., Los Angeles, CA",Chatsworth Apartments,,parcel_in_transition,(pending),Residential,0100,1958,1,2,1,756,2025,600000,250000,,,2025,2025,0,00016,LOS ANGELES,34.2644934,-118.50847655,TR=10126 LOTS 13 AND 14,Legacy AIN 2695003001 consolidated to 2695003030
90,8630009026,,8630-009-026,18615 E ARROW HWY AZUSA CA 91722,AZUSA CA,91722-1828,"18615 E Arrow Hwy, Covina, CA 91722",Pacific Trails Apartments,,manual_verified,Five or more apartments,Residential,0501,1977,82,0,0,57438,2025,14501745,7362423,,2300,2019,2019,0,03122,AZUSA,34.10774298,-117.88763744,*E 231 FT OF W 907.02 FT OF S 1/2 OF SW 1/4 OF SW 1/4 (EX OF ST) OF SEC    1 T   1S R 10W,
91,2421011010,,2421-011-010,10910 HUSTON ST LOS ANGELES CA 91601,LOS ANGELES CA,91601-4618,"10910 Huston St, North Hollywood, CA 91601",Huston Affordable Housing Apartments,,manual_verified,Single,Residential,0100,1929,1,2,1,1184,2025,1265310,152490,,,2024,2024,0,00013,LOS ANGELES,34.15965567,-118.36844507,TRACT NO 6O88 LOT   11,
99,4262018026,,4262-018-026,1734 S BARRINGTON AVE LOS ANGELES CA 90025,LOS ANGELES CA,90025-4010,"1734 S. Barrington Ave., Los Angeles, CA, 90025",Passo Barrington Apartments,,manual_verified,Three Units (Any Combination),Residential,0300,1950,3,6,3,2393,2025,1500000,725000,,,2025,2025,0,00067,LOS ANGELES,34.04060906,-118.45291067,LINDSEY ADDITION SE 50 FT OF NW 73 FT OF SW 147.5 FT OF LOT    4 BLK   15,
