ain,apn,situs_address,input_address,property_name,tract_number,method,use_description,notes
7075020011,7075-020-011,12100 226TH ST HAWAIIAN GARDNS CA 90716,"12100 226th St, Hawaiian Gardens, CA 90716",Hawaiian Terrace Senior Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (2)
7075020012,7075-020-012,12100 226TH ST HAWAIIAN GARDENS CA 90716,"12100 226th St, Hawaiian Gardens, CA 90716",Hawaiian Terrace Senior Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (2)
4025014001,4025-014-001,9301 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014002,4025-014-002,9309 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014003,4025-014-003,9317 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014004,4025-014-004,9325 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014005,4025-014-005,9333 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014006,4025-014-006,9341 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014007,4025-014-007,9401 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014008,4025-014-008,9409 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
4025014009,4025-014-009,9417 CRENSHAW BLVD INGLEWOOD CA 90305,"9301 – 9609 Crenshaw Blvd, Inglewood, CA",Stadium Village Apartments,,manual_verified_multi,Four Units (Any Combination),Multi-parcel (20)
